motor,marca,modelo,preco,quilometragem,ano,informacoes
2.0,Chevrolet,astra-sedan,19900,185600,2003,Astra 2.0 Mpfi Cd Sedan 8v Gasolina 4p Manual
2.0,Chevrolet,astra-sedan,21900,151628,2007,Astra Sedan 2.0 Advantage Flex Power 4p
2.0,Chevrolet,astra-sedan,27900,93552,2010,Astra Sedan Astra Sedan 2.0 Mpfi Advantage Sedan 8v Flex 4p Manual
2.0,Chevrolet,astra-sedan,21900,1,2009,Astra Sedan Astra Sedan 2.0 Mpfi Advantage Sedan 8v Flex 4p Manual
2.0,Chevrolet,astra-sedan,10900,0,2000,Astra Sedan 2.0 16v Gls 4p
2.0,Chevrolet,astra-sedan,23800,160000,2009,Astra Sedan 2.0 Advantage Flex Power 4p 133 Hp
2.0,Chevrolet,astra-sedan,25900,133000,2008,Astra 2.0 Mpfi Advantage Sedan 8v Flex 4p Manual
2.0,Chevrolet,astra-sedan,24500,174000,2010,Astra 2.0 Mpfi Advantage Sedan 8v Flex 4p Manual
2.0,Chevrolet,astra-sedan,22000,135000,2007,Astra Sedan Astra Sedan 2.0 Mpfi Advantage Sedan 8v Flex 4p Manual
2.0,Chevrolet,astra-sedan,28900,104742,2010,Astra Sedan Astra Sedan 2.0 Mpfi Advantage Sedan 8v Flex 4p Manual
1.8,Chevrolet,astra-sedan,19990,167000,2004,Astra 1.8 Mpfi Gl Sedan 8v Álcool 4p Manual
2.0,Chevrolet,astra-sedan,24900,95000,2010,Astra 2.0 Mpfi Advantage Sedan 8v Flex 4p Automático
2.0,Chevrolet,astra-sedan,15500,999999,2002,Astra 2.0 Mpfi Expression Sedan 8v Gasolina 4p Manual
2.0,Chevrolet,astra-sedan,15900,150000,2003,Astra Sedan 2.0 8v 4p
2.0,Chevrolet,astra-sedan,11900,225000,2002,Astra 2.0
2.0,Chevrolet,astra-sedan,22900,1,2009,Astra Sedan 2.0 8v Mpfi Flexp. 4p
1.8,Chevrolet,astra-sedan,14900,136000,1999,Astra 1.8 Mpfi Gl Sedan 8v Gasolina 4p Manual
1.8,Chevrolet,astra-sedan,16990,209105,2000,Astra 1.8 Mpfi Gl Sedan 8v Gasolina 4p Manual
2.0,Chevrolet,astra-sedan,21990,200000,2008,Gm Astra Sedan Elegance 2.0 Astra Sedan Elegance 2.0
1.8,Chevrolet,astra-sedan,12000,199814,2001,Astra Sedan 1.8 Gl 4p Gasolina
2.0,Chevrolet,astra-sedan,12500,0,1999,Astra Sedan Astra Sedan Gls 2.0
2.0,Chevrolet,astra-sedan,19980,260000,2003,Astra 2.0 Mpfi Cd Sedan 8v Gasolina 4p Automático
2.0,Chevrolet,astra-sedan,17000,111111,2001,Astra 2.0 Sfi Advantage Sedan 16v Gasolina 4p Manual
2.0,Chevrolet,astra-sedan,16900,130000,2007,Astra Sedan 2.0 8v
1.8,Chevrolet,astra-sedan,16999,122000,2004,Astra 1.8 Mpfi Gl Sedan 8v Álcool 4p Manual
1.8,Chevrolet,astra-sedan,16990,100000,2003,Astra 1.8 Mpfi Gl Sedan 8v Álcool 4p Manual
1.8,Chevrolet,astra-sedan,13490,180000,1999,Astra Sedan Gl 1.8 Mpfi 1999/1999
2.0,Chevrolet,astra-sedan,24490,176000,2008,Astra Sedan Advantage 2.0 8v(flexpower) 2007/2008
2.0,Chevrolet,astra-sedan,15890,151000,2002,Astra 2.0 Mpfi Cd Sedan 8v Gasolina 4p Automático
